"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"sherhendriks-08575","26 July 2019","Simba and Beyonce. Or better yet, it's not Lion King.. It's Lion Queen. She wanted you to hear very clearly what her origin is, while at an interview she won't. Now the album will be a gift to africa or from africa. Great, I did not know the movie is about how much we are devided. She did not get it beautifully done out of respect for the movie. This beautiful creation is messed up due selfish reasons. She should have played the hyena. I always liked Beyonce up till now, she is being way too transparant about her intentions.","
            6/10
            "
"Wikkid_Gamez","18 July 2019","I mean seriously?
It's impossible to make people happy! Its hard to turn something into live action and change things around to fit into the live action area. Half of these 1* ratings are just angry in general because they don't like what Disney is doing with their animated features because they think that they are too close to the original or because they love the originals too much and don't want them remade. Then the other half of the 1* ratings are because they changed things and they are not word for word exactly like the originals.....
Disney has done it all, so now they are focused on turning their wonderful animated features into live action movies. I personally absolutely LOVE what they have been doing!!! All of them, we have been collecting them all as well can through the Disney Movie Club... My kids have absolutely loved them as well, and it has been nice to have a few movies this summer (mostly Disney) that I have been able to take them to see. My daughter and I are especially looking forward to The Little Mermaid!!!
As far as I am concerned they can remake all of their animated features and we will see them all and collect them to add to all the animated features we have collected (which is all of them). The basic stories of most have been the same with some change to the details line wise (I have the animated movies memorized at this point and the movies do differ a tad in detail) ... A couple have deviated a bit i.e. Maleficent (Sleeping Beauty) and Dumbo, but they are all wonderful and we have loved all of them so far including Aladdin, The Lion King and my absolute favorite Beauty and the Beast.
I absolutely LOVE that James Earl Jones returned as Mufasa... I do wish Jeremy Irons had returned as Scar, but it is what it is. Still loved it.
Keep it up Disney!!","
            10/10
            "
"jonatan_juntunen","17 July 2019","Isnt it a bit hypocritical to see people complaining bout this remake? People are always whining about how a remake should always stick to the sourcematerial, and when it doesn't people whine. Yes, this might be a moneygrab, isnt that quite obvious? But in the end, who the f- cares? This movie was a masterpiece, it was bound to be, since its a shot by shot near remake. Yes, the animated will always be the original, but if we are honest, this is a new era, updating the movies is a must for future generations, no matter if you like the fact that classic animation is dying. This movie is also animation, and a revouloutionary one aswell. Also, sometimes remakes are needed for us to appreciate the original. Now - Enjoy this masterpiece, an updated version of a story that was a good one. Thank you for bringing back my childhood. And mostly, thank you for not ruining it.","
            7/10
            "
"dvo_on","18 July 2019","BUT they forgot to animate emotions unfortunately. It's just like watching 2 hours of voice over.","
            10/10
            "
"tetrahex","15 November 2019","The power of CG without soul or purpose. I watched the 4k in all its unsettling starkness, crisp hairs beside mud mouthed lip sink animation that just doesn't quite seem real. Like the previous remakes, things passable in animation are just creepy when made real. The animation in general is 99% there which just makes that 1% stand out all the more, and that's the problem, you are never immersed, because its just an examination of the artificial, a second rate copy of a first class original. Add the new woke stunt casting when the original chose the best fit for the job and this just becomes a first rate turd, not entertaining, just insulting to watch.","
            6/10
            "
"alcantaraj-16594","2 November 2019","""The Lion King"" as a copy-paste of the original animated film. That did affect my enjoyment.","
            2/10
            "
"Pjtaylor-96-138044","21 July 2019","'The Lion King (2019)' certainly looks phenomenal: its 'photo-realistic animation' actually looks photo-real (or pretty much as close to it as we've come so far) on more than one occasion. The environments often seem so real you could touch them, the water simulation is perhaps the best I've ever seen and the animals all move, essentially, as realistically as CG creatures have ever moved. However, this does mean that the movie lacks most of the flair usually associated with animated works, even going so far as to omit emotion in favour of realism. The characters, whom are all inevitably anthropomorphised to some degree, don't really emote. Aside from providing ample range in their vocal performances, they remain as stony-faced as animals of their kind usually do. It's lucky that, for the most part, the cast do a terrific job at conveying everything that needs to be conveyed. However, when the singing starts, the believability of the vocal work starts to stretch beyond its limits; it just doesn't look like these lions, with their limited jaw-range and general lack of visual articulation, are belting out the big notes that they're supposed to be. Again, it's a good job that the songs are as genuinely entertaining as they are. Sadly, the picture can't claim to own any of them - except for a couple of originals that seem strangely out of place. On top of that, the musical sequences themselves aren't all that inspired, especially when compared to the original 'The Lion King (1994)'. I mean, the big, colourful, montage-esque numbers from that flick are here replaced by often stiff and generally just sort of bland ones. The same is true, I suppose, of the whole affair. It doesn't change anything in terms of narrative but somehow makes things longer and less energetic. Of course, this is all in favour of its realist aesthetic, but it does make you wonder whether that's a wise choice. After all, why does this Shakespearean musical about talking lions need to be realistic? The end result is far less memorable than the 1994 classic; it's not as vibrant, lively or dynamic. It still tells an engaging, effective and occasionally emotionally-affecting story, though. I can't deny that it's a fair bit of fun. It's not so much new as nostalgic, almost like an experiment on a large scale. It ultimately doesn't really feel worth the effort, however, because I'd rather watch the original and I think pretty much everyone else would, too. In five years time, will this be remembered as a classic? No, it'll be remembered as a remake. It's a shame, as the technical work involved with it really is astounding. The true artistry required to make this work would probably have been better spent elsewhere. I suppose it's just a product of the cinematic circle of life, though. In twenty-five years time, I guess we can expect an animated remake of this (so-called) 'live-action' effort. 6/10","
            10/10
            "
"kenzibit","11 October 2019","Just Wow, mouth was wide all the time. I'm already familiar with the story but the details and my love in the graphics made the movie feel so natural, immersive and beautiful to me the whole time. This is by far one of my most beloved titles in 2019 despite the low tomatometer score. The family was in love and hope they make more remakes like this. Very proud of this purchase and I highly recommend it for a family home viewing. Kudos to all those involved in the making of this MASTERPIECE!!!","
            7/10
            "
"thaddeuscharles","23 August 2023","2019 Lion King still shines but the remake is not as good as original. The original Lion King is so good that even this version still has moments of greatness. Furthermore, the computer generated landscapes are magnificent (at times I was literally in awe with the realistic beauty created) but some changes were NOT beneficial:1. Beyoncé casting and solo song didn't blend with vibe of film. ""Are you with me, lions!""2. Timon and Pumbaa were not as funny.3. Shenzi the Hyena as the leader which is a decent and acceptable change in this version.4. Cartoon version was extremely more emotional expressive.","
            1/10
            "
"d-ramseeey","20 July 2019","Why all the bad reviews? I thought this was a good remake. Thank you Disney for making me feel like a child again.","
            7/10
            "
"eddie_baggins","19 July 2019","To put it simply, weighed up against one another in a battle for ultimate supremacy, the original animated classic from 1994 would win the battle for The Lion King pride land in knockout fashion.Full of heart, soul, imagination and of course singalong worthy songs and emotionally powerful music, the Disney classic of old still stands up today as a worthy cultural touchstone and while this new virtually carbon copied version of the tale of Simba and his quest to act out his kingly duties is still entertaining enough, Jon Favreau's visually sumptuous yet instantly forgettable redo is a relatively cold and unnecessary cash grab from the global behemoth that is the mouse house.From the moment the film starts with the ""I see Kenya"" made famous in the original, as animals of all shapes and sizes gather to witness the unveiling of lion king Mufasa's newly born cub Simba, Favreau's film sets itself in motion to be a risk free affair that while stunning with its downright eye-popping mastery of visuals, fails to capture the audience's heart like the 1994 original did with ease, for those of all ages.It's a shame for such a visual feast that Favreau and his Disney bosses failed to think of new ways to add a different flavour to proceedings here, as while there's some neat visual gags, added jokes (mainly courtesy of the films MVP's Timon and Pumbaa, voiced by Billy Eichner and Seth Rogen) and some of the songs remain a joy to listen to without bettering the original, this version of The Lion King plays it way to safe without doing anything else of note that would make you choose to watch this take over the briefer and more energetic original.Another curious element to the film is with Disney's insistence on going ""photo real"" they have managed like other live action re-doings to lose sight of some of the beloved characters that came to life in the original animations.Here of course we have our cute and adorable and eventually fearsome Simba, the feisty Nala, comic relief Zazu and many more of the characters many know and love (or despise) but with the realism attached to these once animated figures much of the simplistic wonder and stretching of the imagination disappears and so too does much of the whimsy and loveable aspects.Most notable in how the film deals with its musical numbers, as many will notice the outlandish nature of many of the original set pieces (such as Scar's Be Prepared Nazi like sequence or Can You Feel the Love Tonight taking place in the day time!) are now transformed into more plain set-ups that while looking great, lack the spark and memorability of what we've come to know and therefore expect.It all brings in to question the very being of these Disney reimagining's, that while perfectly watchable and seriously profitable (other than poor old Dumbo), makes one wonder what the whole point of the whole escapade is other than Disney taking a seriously easy route to making quick and easy money.If other future installments fail to add anything else of note like The Lion King, you can't help but feel much like the never spoken about Beauty and the Beast remake or the over praised Jungle Book, many of these experiences will go down as cold hearted money earners that very few would recall in future years as anything but entertaining distractions.Final Say -No doubt set to be one of the great box-office behemoths of all-time, this modern day Lion King provides much wonder for the eyes but offers very little else of note to lay hold on. Perfectly watchable but instantly disposable, Jon Favreau's film is a prime example that realism doesn't equal better when your film is stuck in auto-pilot.3 juicy grubs out of 5","
            6/10
            "
"mattrochman","23 July 2019","This really was not worth making. The first one was a masterpiece, so the thinking behind a carbon copy with different performers and visuals is baffling.I might be in the minority, but the stage show did little for me - a lame remake. Somehow this film gives me the same feeling.when I flicked through hundreds of reviews on IMBD, I see that other reviewers are panning it beyond belief. How it is achieving an average score about 7 can only be explained by the number of people giving it an undeserving ""10"".Awaiting more original content rather than remakes. Some classics should simply be left untouched. They could do a bonanza remake of Mary Poppins with unbelievable effects, but redoing a historical masterpiece is unnecessary - as is the case with the Lion King.","
            9/10
            "
"dockerykelli","5 August 2019","The Lion King is an absolutely phenomenal movie. The talented actors/actresses that voiced the characters along with the storyline is wonderful and the did all of their own singing!!!! Such an incredible movie!!!! I WOULD HIGHLY RECOMMEND THIS MOVIE TO ANYONE!!!! A+++ Film.","
            6/10
            "
"jamiekressinger","13 October 2019","It was actually well done. Animation was great.
BUT mainly to the person who wrote a review saying a real rip off by Disney. Dude they done the original, what ya talking about. And if you had to turn up your speakers for bad sound and had a bad picture. Maybe go rent a legit copy.","
            10/10
            "
"AdrenalinDragon","19 July 2019","Disney has managed to hit rock bottom by turning arguably their best Disney movie of all-time into one of the biggest pile of garbage I have ever witnessed on the big screen. Imagine all the colour, emotion, life, magic, joy, and personality sucked out all in an instant from one of your all-time favourite movies. That's this 2019 Lion King remake in a nutshell. As the end credits were rolling, I felt nothing. I didn't care about anything. I never felt sad, happy, overjoyed, or any emotion the entire time. I was soulless, just like this entire movie was. It was Disney at their absolute worst. They took the weakest and blandest possible way out of making this movie. If you've watched the 1994 original, you've seen this movie, and anything they added or changed was pointless filler or bad changes that made the movie much, much worse than you could have ever imagined.Why would I want to see lifeless versions of my favourite songs with the dullest visuals and animals doing nothing interesting just so this movie can stay ""Realistic""? I have no idea but someone thought it was a good idea! Was it worth it Jon Favreau? Improving your visuals so much that the goddamn animals can only open their mouths and do nothing else with their movement? Oh right, animals can't emote properly because they can't emote much in real life! Geez, I wonder why in the original Animated version these Animated characters had over-exaggerated features to be like Human beings? Oh right, so we can emotionally connect with them! It doesn't translate very well in ""Live Action""!You can imagine alot of these shot-for-shot sequences being much worse in this ""Live-Action"" CGI remake. Scenes were dumbed down or replaced with crappy alternatives because the CGI animals couldn't do them in the movie or had no emotion to pull it off. In one of the most iconic scenes of the original movie, the audience were laughing at a very serious scene that is played to extreme
dramatic effect because of how dumb it looked in ""Live-Action"". There is nothing funny going on in this scene at all. They turned one of the most emotionally devastating sequences of the original movie into a huge embarrassment. How could you do that? Why do we feel nothing for Simba and these other characters? Why do almost all the voice performances feel like they only used the first take out of so many of these talented actors? Very dull and uninspiring.They butchered the villain Scar big time as well! In the original he was a sly, snarky, sarcastic, and quotable evil Lion with so much personality and wit behind him. In the new one he just sounds like a generic bad guy Lion who is always angry. In fact, I didn't even notice it was Scar at first! They made all the animals look so realistic you can't tell some of them apart until a character mentions them or you connect the dots with their lines taken from the original, which I have to say was very lazy as it was basically like 90% of the same dialogue. Thanks for also butchering one of my favourite characters Rafiki by the way. Even though you guys were basically doing a shot-for-shot remake, you got rid of his best moments for no reason! Timon and Pumbaa now have unfunny jokes constantly and just feel like pale imitations of their originals who were so beloved back then.What about the filler and new stuff? Well, you get one forgettable song sung by Beyoncé in it. It doesn't fit the tone of the movie at all and just felt like Disney had to add some random song in there so they could get the Best Original Song Oscar nomination. Shenzi the Hyena is now the leader of all the Hyenas but it doesn't really go anywhere or develop her character at all. There's a new scene which shows Nala escaping the Pride Lands ruled by Scar that is just padding and adds nothing to the table at all. The Lion Sleeps Tonight gets a bit more screentime but it's just showing off bugs and animals and nothing more.
There's probably more but I've already forgotten alot about this movie. They changed some of the dialogue here and there, and most of the time it's worse jokes or lines that don't feel natural at all. Even stuff like cinematography, music, and line delivery all felt off and unprofessional in large parts of the movie.You know? The more I think about this remake, the more I get angry about it and I wish someone would just snap this piece of trash out of existence. The original was close to perfection already, so why bother remaking this movie? This is the laziest Disney cashgrab I have seen so far, and I'm getting sick of them releasing these ""Live Action"" movies being made over and over again now, but it doesn't matter because Disney is going to make loads of money anyway. This Lion King remake in particular was easily the worst one so far, because all it needed to do was rely on the brand and make the exact same movie again bring absolutely nothing new to win people over. What happened to artistic integrity, originality, or effort? I hate having to think this stupid movie exists with the original now.1/10","
            6/10
            "
"zfgipbcstc","26 July 2019","Disney remaked this film with the same plot and the same story with the same characters! But the only difference is that it is not an animation! As if they were bored and suddenly someone said hey! Lets remake The Lion King, but this time lets make it a ""live-action"" ! and the rest is trash
Please disney stop remaking and start creating!","
            1/10
            "
"yourz_sanju","17 August 2019","After watching this movie, I felt this was a version I couldn't enjoy due to three major mistakes that was not looked into.
1) Emotionally this version doesn't keep you connected like the original one did.
2) Few artists used for voice overs aren't as convincing as the original one had.
3) Few scenes were improvised which ruins and feels rushful while watching the film.I am not huge on live looking CGI as I have enjoyed animation. Sure Disney has pulled off awesome job but not worth it.","
            10/10
            "
"EasternZZ","28 July 2019","This is Lion King with nice HD graphics. There is maybe one or two new scenes that help flesh out the story, but if you have seen Lion King, you have seen Lion King (2019).The music is still pretty epic, but there is a very weird out of place pop song towards the final 20 minutes that just did not mesh well. Another issue is that ""Can You Feel The Love Tonight"" was performed in this movie during the daytime, so the lyrics made no sense at all. People already talked about the facial emotions of the animals and and angry lion, sad lion, or happy lion look the same. I would just prefer them to make it a little bit ""fantasy-like"" and just have these lions emote better with eyes or mouths.This movie kinda ruins some of the classic scenes, like the final battle was cool and a lot longer, but Simba and Scar's final showdown was better in the original. The remake didn't have the awesome slow motion slap that the original had.Lastly they ruined the most classic scene in the Lion King, the ""cloud"" scene. In the original you saw Mufasa's face in the cloud cleary, but in this remake all you see are clouds and lightning, with a very very brief glimpse of Mufasa. It kinda loss the emotional impact.Anyways it is a 6/10 because it is pretty much Lion King with god graphics.","
            6/10
            "
"UniqueParticle","14 August 2019","Very nice to see a polished new remake, I forgot how dark some kids movies are though! Seth Rogen was the best thing about this among others like his sidekick, lots of comedy and entertainment value. I don't know why this would've gotten hate - it's fantastic and beyond adorable.","
            1/10
            "
"ajax-kumar","24 August 2019","Firstly.. I am a big fan of the original LionKing. So when Disney decided to remake the LionKing, I knew I had to see it. What's good.. the CG looks very real and at no point in time does it look unreal. You want to believe that the Lions are really talking or moving. It's almost a remake of the original movie scene to scene.. almost. What's bad.. certain scenes in the original movie had a lot of charm.. like Rafiki advising Simba to come back, which I thought was quite tame in the remake. Because the original movie was animated the expressions from the characters added to the emotional scenes which could not be achieved in the remake. Watchable.. but I am still a fan of the original movie.","
            7/10
            "
"gabriels-45483","22 July 2019","This was a great version of The Lion King. Director Jon Favreau really did it justice by keeping true to the 1994 version with a few different things added (I will not say them as I do not want to spoil anything). I was happy to see James Earl Jones reprise his role as Mufasa from the original movie. Great job by the rest of the cast.","
            6/10
            "
"MrDHWong","18 July 2019","The Lion King 2019 is a CGI photorealistic adaptation of the 1994 Disney animated film of the same name. Directed by Jon Favreau (Iron Man, Cowboys & Aliens, The Jungle Book), it is a visually appealing, albeit pointless remake that adds almost nothing new.In the African savannah, Simba (voiced by JD McCrary), a young lion prince, eagerly waits until the day he takes over as king from his father Mufasa (voiced by James Earl Jones). One day, Mufasa is murdered by his jealous younger brother Scar (voiced by Chiwetel Ejiofor), forcing Simba to flee his kingdom or face a similar fate. After covering a great distance, Simba meets a meerkat and warthog duo named Timon and Pumbaa (voiced by Billy Eichner and Seth Rogen respectively), who take him in and teach him their carefree lifestyle. Eventually, Simba learns that he must take responsibility and reclaim his rightful place as king from his wicked uncle.While it does showcase some nice use of colour and cinematography, The Lion King 2019 offers little else worth recommending over its animated counterpart. The story is the same as the original, the songs remain unchanged, and even most of the dialogue is word-for-word identical. At best, director Jon Favreau is merely a conductor of someone else's symphony, a far cry from his work on 2016's The Jungle Book, which took risks and felt refreshingly new. In addition to this, the photorealistic CGI often had the film at a disadvantage as it fails to convey any real emotion from the animals. In the 1994 film, the animal characters were able to look a variety of different emotions due to the artistic freedom of it being animated as a cartoon, whereas in this film, each animal looks stoic whenever they're supposed to be sad or angry. Overall, to the small percentage of those who haven't seen the original, this film may be alright, however, all others should stick with the 1994 classic instead.I rate it 6/10","
            10/10
            "
"Gresh854","31 July 2019","Watching the original 1994 lion king and then going to see this new remake in theaters is the equivalent of ordering two completely different movies on blu ray and getting two identical copies of one of the movies you bought but not getting the other movie that you ordered.","
            6/10
            "
"wayneclark1977","27 October 2019","What's wrong with you people it's just a movie no way it's a 1 stop comparing it to original, remakes are usually not as good it's just entertainment y'all just have no joy in your hearts the problem is all you negative people not the movie if this came out before the original all of y'all would give it a 10 , just sit back and don't take movies so serious everyone is so negative typical millennials always complaining","
            10/10
            "
"hillman_mcfc","31 July 2019","The Lion King was one of if not my favourite film as a kid so I was always going to have this ""it will never be as good as the original"" but I enjoyed the Jungle Book and Mowgli so I knew the enjoyment factor could still be there. Visually it's stunning Disney look like they have spent an absolute fortune on this and it shows, but a few things with it there is no emotion being shown like 0 you can't tell if they're happy sad angry the only relation you have is with the voice, and that brings me to the sound. You can tell that the voice actors have done this in a studio from the first word spoken I was taken a back with how out of sync it was it just didn't fit. The whole film is almost shot scene for scene with the original which isn't that old at all. Scar's voice just wasn't menacing enough for me he was no Jeremy Irons I can tell you that, everything seemed rush, the scene when Mufasa gets thrown off the cliff by scar when he utters the word ""long live the king"" when Irons done it, it was slow, dark, scary like when the new actor does it, it's literally like they're having a normal conversation. I don't like the beyonce song the score was pretty much the same from the original. 6/10 is being generous from me, I would leave it for blu ray, I don't think the original is that old to justify a remake so soon and if you are going to do it change it up enough to make it worth while.","
            6/10
            "
"menzoderks","21 July 2019","The original Lion King is one of my favorite movies of all time and if you feel the same I'd recommend you to never watch this remake. Now let me explain how this movie is completely ruined.1. Characters have no facial expressions - So in the original if you just turned off the sound you'd still be able to understand what's going on as the body language and facial expressions were a big part of what brought these characters to life. In the new film simba looks like a real lion and similar to a real lion he has zero facial emotion. This is true for all the characters.2. The voice acting is horrible - everyone talks incredibly unemotional and SLOW. These actors have likely been told in production to do so as otherwise it would have looked weird for these animals to move their mouths so fast. Even Mufasa's voice is far slower and less emotional while it's still the same voice actor. They really talk half the speed and have odd pauses in their dialogue. Emotion is gone entirely.3. Clever jokes and small exchanges are not in this movie - Because characters talk so slowly they can't say as much. Therefore all small jokes and clever exchanges are left out. A few are kept in, but fall flat as the timing is off now. For instance when in the original Simba and Nala go to the elephant graveyard the hyena have all these fun exchanges and they are left out in this movie, Instead we get 2 hyenas that are particularly unfunny...4. The songs are ruined - In the original movie, songs bend real physics and reality to give an expressive montage that was visually stunning. Here they just walk or jog a bit.Then a few other animals might appear, but that's about it. Songs are also played at a slower tempo which in itself ruined all the momentum out of the song.5. Simba is unlikable - Before simba flees away from pride rock you feel his character is a bit reckless and a bit cocky, but he is also brave and has the characteristics of a leader as he protects others. In the elephant graveyard he stands up for Zazu (while he does not even like zazu) saying the hyena's should pick on somebody their own size. When he and nala then have to run for their lives nala is falling behind. Simba then runs back and saves her by scratching Shenzi. These 2 things do not happen in the remake, which make simba a cocky guy only caring about the power he will get as a king. In the second half you'll start to wonder if he really should be king.6. Filler scenes - There are a few additonal scenes or things that are dragged out that give zero character development and do not bring new information at all. You'll notice these scenes in the film, but to give 1 example I'll tell the one that's the least spoilery. Remember that mouse that scar grabs under his hand in the beginning? You see him run up to the camera, wash his nose and BAMN. Scar has him under his paws. In the remake we see this mouse crawl for a whole minute. Why?!? Later in this movie there is something that took the original 5 seconds too, but here takes 2 minutes! They're are really struggling to make the movie 1 hour and 50 minutes, whereas I do not think it's necessary at all and they could have just made a movie of 1 hour and 25 minutes as the original was.This movie has no soul and leaves a bad taste towards the original.Disney has lost all it's credibility and respect it still had left by making this atrocious movie.","
            2/10
            "
"kevinxirau","9 August 2019","With all the live-action remakes Disney has been making as of late, it seemed inevitable that ""Lion King"" would be given the same treatment. Question is how do you even redo a film beloved by most, the very height of the Disney Renaissance? Jon Favreau took on the task having previously done ""The Jungle Book"", though I'd hesitate to really call this live-action given that it's mostly animation.I'd be lying if I said watching this on the big screen didn't make me feel nostalgic, getting chills when scenes like ""Circle of Life"" and the wildebeest stampede come around. Hans Zimmer's music is still a blast to this day. I also got some laughs out of the new jokes, including references to both the Broadway show and another Disney classic; Timon and Pumba are still pretty funny. The new cast gets credit for their vocal performances with only a few lines that felt off. Certain characters, dialogue, and moments were changed albeit minimally, occasionally to give new contexts or more believable actions such as Scar's plot to take the throne.Apart from one added scene, though, it's still the same movie, which may disappoint those expecting something truly new. Another issue is the crew's insistence on making this realistic led to a problem: most of the animals, despite their vocal inflections, lack facial expressions, making it harder to connect with them in the especially emotional scenes. It's strange given that Favreau allowed the animals in ""The Jungle Book"" a wide range of expressions (heck, actual animals can be expressive from time to time). Some aspects like ""Be Prepared"" and Rafiki aren't as impactful as they did in the original and, while graphically detailed, the visuals don't pop as much, particularly during song sequences where the colors are more muted.""Lion King"" 2019 is a case of what I call giving a classic a new coat of paint. It looks nice, but it's still fundamentally the same thing. This left me conflicted. I still enjoy it, but at the same time I think more could've been done.","
            9/10
            "
"henriquelrf","21 December 2019","Well, we all know that kids today are much more attached to 3D movies. The movie is not bad, by the way, it looks like an authentic wildlife documentary! But, much has been lost, like the magic of the '94 version! We lack the expressions and the eyes! And yes, the songs lost whit this too! Still, great production.","
            6/10
            "
"skylermoore","25 July 2019","I was worried they'd really screw this up somehow but I thought it was really good. The CGI in this was out of this world, humor landed 95 percent of the time but I felt like it really lacked a lot of emotion from our characters because of the realistic approach. Because of that I got drawn out of a lot of scenes. Still a fantastic remake, given it was about shot for shot, I give props for not changing a loved story.","
            1/10
            "
"darnellrice","24 July 2019","Like how they used the vibrant logo of Disney from The Jungle Book (2016) but other than that, it was a great animated movie. Loved all of the actors & their voices!!!","
            6/10
            "
"devillogs","17 August 2019","Previously this film has already been a blockbuster but in the remake it does not feel like the original did the way.","
            6/10
            "
"danchi-75448","20 July 2019","If you have watched the original animated version, thought it was great and than watch this version-there is a unconscious comparison being made in your mind that I think won't allow you to see it from a different perspective and not vet it on it's own merits. I saw it with family members who have watched the original multiple times and they seemed to have some sort of block the minute the film started. One comment was ""I don't like it"" Why? It's too real"". Another, ""It's too big"" things along those lines but no comments of substance as to why they didn't like it. I personally have seen the original several times and I enjoyed both. Plus listening to the voice of the great James Earl Jones is always a plus for me.Don't listen to the critics.","
            8/10
            "
"SnoopyStyle","11 September 2019","It's the realistic CGI rendering of the 1994 Disney animated classic. I don't love the original but I do respect the Shakespearian jungle book. It hasn't changed for this new version. I still don't like Simba but a little less this time. Instead of a brat, he's more of a clueless kid. Scar's villainy seems less cartoonish and more threatening. It's the heart of the change for the new movie. The CGI rendering is very realistic. The cartoon animation is a memory in the back of the mind. I'm reminded of all the nature films and that's where the trouble begins. While the rendering is correct, these are not real animals. It's jerry-rigging a human story into the animal kingdom. For some reason, it's fine for a cartoon since that's fake. This feels real and yet it's fake. That dichotomy annoys me. So different things annoy me in the two versions of this movie. I still respect the heck out of it although Disney is not adding to the culture by continuously redoing the same movies.","
            7/10
            "
"harril-586-26745","31 July 2019","CGI is great with beautiful lighting and a very cute baby Simba. Sadly, the music was massively underwhelming with 'phoned in' vocals by 2 of R&B's reputedly finest vocalists Beyoncé and Childish Gambino. And why are the best moments of this PC 'child friendly' version - though spectacular sonically and visually - the most violent parts of the story? All of the poignant and hilarious moments of the original movie have been diluted and in some instances, surgically removed. Are the makers seriously catering to a new generation of kids that will suck up and feast on this modern way of telling stories? I had to see it once but hope to never see it again and look forward to crying and laughing at the original some day soon.","
            10/10
            "
